Antifrágil,"Habilidad de un sistema para fortalecerse y evolucionar debido al estrés, la volatilidad y los retos enfrentados.",
Apoptosis sistémica,"Proceso de eliminación controlada de componentes dentro de un sistema que ya no son viables o necesarios, asegurando la salud y estabilidad del sistema general.",
Arquitectura de incentivos,Sistema o diseño implícito en una organización que modifica y condiciona el comportamiento de los diferentes actores que participan en él. Véase incentivo.,
Asertividad,"Qualidad comunicativa de las personas, absolutamente necesaria en entornos laborales y en el CPS. No confundir con agresividad comunicativa. Citando la turra:
La asertividad se basa en el equilibrio. Requiere ser franco con tus deseos y necesidades, sin dejar de considerar los derechos, necesidades y deseos de los demás.
Cuando eres asertivo, estás seguro de ti mismo y sacas fuerzas de ello para hacer valer tu punto de vista con firmeza, justicia y empatía.","Javier G. Recuengo. Turra: La importancia de la asertividad en la vida, especialmente en el ámbito de la complejidad. https://turrero.vercel.app/turra/1517738336210894850"
Atractores,"Un atractor es una fuerza o factor que dirige el comportamiento de los actores en un sistema hacia ciertos estados o patrones específicos, influyendo en la formación y ejecución de estrategias empresariales.",
Brainstorming,"El brainstorming es una técnica para generar ideas en grupo rápidamente, sin juzgar ni descartar ninguna, buscando creatividad y soluciones innovadoras.",
Business Acumen,"Uno de los 4 pilares del CPS: conocimiento e intuición para los negocios, normalmente combinación de intuición, experiencia y conocimiento cristalizado (ej. conocimiento académico).",https://en.wikipedia.org/wiki/Business_acumen
Caótico (Cynefin),"Un problema o situación en cuya naturaleza es imposible establecer relaciones causa-efecto. No hay patrones claros, sino turbulencias y confusión. No se puede abordar desde la consultoría clásica.",Véase Cynefin
Cienciarte,Fusión de ciencia y arte para explorar y expresar conceptos científicos de manera creativa y accesible.,
Ciencias de la complejidad,"Uno de los 4 pilares del CPS: Estudios de comportamientos de sistemas físicos, termodinámica y ciencias de la información que se centran en la impredictibilidad de sistemas complejos incluso a pesar de un origen determinista (ej. doble péndulo, problema de los tres cuerpos, juego de la vida de Conway). En CPS se reconoce su utilidad pero su uso es meramente una referencia pues la aplicación de las ciencias de la complejidad se centra en carreras típicamente de ciencias, y en CPS la aplicación es a entornos sociales cuyo estudio es fundamentalmente diferente.","Víctor R. Escobar Olmos. La fácil emergencia de la complejidad. https://youtu.be/Klcgdm76cL8
Melanie Mitchelle. Complexity: A Guided Tour"
Cinco Porqués (5 Whys),desentrañar la cadena de causas que llevan a un problema específico.,
Complejidad (Cynefin),"Escenario o sistema donde las relaciones entre causa y efecto no son claras y solo pueden identificarse retrospectivamente. 

En este dominio, los patrones emergen a través de la interacción de múltiples elementos y es necesario adoptar un enfoque de ""probar, sentir, responder"" para entender y gestionar la situación.

La complejidad se caracteriza por la necesidad de experimentar y adaptarse continuamente, ya que no hay soluciones predefinidas y el conocimiento se desarrolla a través de la observación y el aprendizaje en tiempo real.",Véase Cynefin
Complejo (Cynefin),"Un problema cuya naturaleza no tiene una relación causa-efecto clara, y no ha sido resuelto anteriormente o todas las soluciones anteriores han dejado de funcionar. Alta variabilidad de procesos, contextos dinámicos o problemas con mucho factor X son típicos en esta clasificación. No se puede abordar desde la consultoría clásica.",Véase Cynefin
Complexity science,"Ciencias clásicas de gestión de la complejidad (Sistemas no lineales, pensamiento sistémico, Emergencia, sensemaking)",
Complicado (Cynefin),"Un problema cuya naturaleza no tiene una relación causa-efecto clara, pero que no es evidente para todos los implicados y, además, puede que haya múltiples respuestas correctas ante el problema que se plantea. Posiblemente incluye soluciones existentes pero es importante ir con pies de plomo al implementarla. Puede ser resuelto mediante la consultoría clásica.",Véase Cynefin
Consultoría,"Venta e implementación de productos y servicios a soluciones ya conocidas, también es común orientar al cliente hacia una solución a un problema, en ocasiones mal especificado. En CPS se hace especial hincapié en los incentivos perversos presentes en la consultoría, especialmente la estratégica, y cómo estos productos y servicios han sido históricamente utilizados como placebo a los problemas complejos.",
Contexto,"De la coletilla “el contexto lo es todo”, a menudo ducho en una situación en la que una solución no funciona como esperábamos basándonos en otras experiencias.

Se trata del conjunto de circunstancias, condiciones y factores que rodean y afectan una situación, evento o fenómeno. Estos factores pueden incluir elementos históricos, culturales, sociales, ambientales, económicos y tecnológicos que influyen en cómo se percibe y se entiende una situación.",
Cynefin,"Framework para dar sentido a la naturaleza del problema en relación a la complejidad que resulta al solucionado del problema. Divide cada problema en tres reinos: simple, complicado, complejo y caótico. Este es un concepto clave para CPS.",E. Snowden y VVAA. Cynefin - Weaving Sense-Making into the Fabric of Our World
Decision Makers,"Las personas que genuinamente toman las decisiones, puede coincidir, o no, con las personas cuyo título aparentemente sea responsables.",
Diagnóstico,"En el CPS, el diagnóstico implica comprender a fondo la naturaleza y las causas fundamentales de un problema complejo.

Es un proceso de investigación y análisis exhaustivo para identificar los factores clave que contribuyen al problema, así como las interrelaciones y dependencias entre ellos. Un diagnóstico sólido es crucial para formular estrategias efectivas y soluciones duraderas.",
Diagrama ishikawa ,Identifica problemas de calidad y les da solución,
DISC,"Del acrónimo en inglés: Dominance, Influence, Conscientiousness and Steadiness. Una teoría de la personalidad escrita por el doctor William Moulton Marston que se utiliza para clasificar preferencias en el estilo de trabajo entre otras.",
Disonancia cognitiva,"Malestar psicológico causado por la diferencia entre la idea, modelo mental y expectativas del individuo y la realidad observada. Es un fenómeno universal y ocurre a diario a todos los seres humanos constantemente. Las consecuencias sobre el comportamiento del individuo son claves en el estudio del Factor X, y son altamente estudiadas en psicología, pues no es raro que, para evitar el malestar al individuo, este prefiera profundizar en una creencia disonante.","R. Festinger, When the profecy fails"
Dolor referido ,Percibir problemas en un área cuando su causa real radica en otra distinta.,
Emergencia ,Surgimiento de orden complejo a partir de interacciones simples en sistemas no lineales.,
Estrategia,"En el contexto del CPS (Complex Problem Solving), la estrategia se refiere al enfoque general y los principios rectores que guían la resolución de un problema complejo. Es un plan de acción a alto nivel que define cómo abordar el problema, teniendo en cuenta los recursos disponibles, las restricciones y los objetivos deseados y una serie de acciones coherentes y consistentes entre sí y el objetivo final a lograr.

La estrategia proporciona un marco para la toma de decisiones y la asignación de recursos durante el proceso de resolución de problemas","Richard Rumelt - Good strategy, bad strategy"
Factor X,"Uno de los 4 pilares del CPS: combinación de varias ciencias que estudian y trabajan con el comportamiento humano en entornos complejos: psicología, antropología, management, teoría de juegos, etc. Importante no llamarlo “factor humano” pues popularmente al decir “factor humano” se implica una inevitabilidad de las consecuencias, cuando en el Factor X sí que asumimos que las personas son indeterminadamente predecibles. Cita de León Tolstói: «Todas las familias felices se parecen unas a otras, pero cada familia infeliz lo es a su manera».",Consultar sección Factor X en la biblioteca.
Falacia lógica, "Una falacia lógica es un error en el razonamiento que debilita un argumento, haciéndolo inválido o engañoso.",
Homeostasis,Capacidad de un sistema para mantener la estabilidad interna frente a cambios externos.,
Hormesis,Fenómeno en el que una exposición baja a un agente dañino o estrés induce una respuesta adaptativa beneficiosa.,
Huevos de serpiente,"Este término se utiliza metafóricamente en el CPS para referirse a los problemas o desafíos secundarios que pueden surgir como consecuencia de abordar un problema complejo principal. Al resolver un problema, es posible que se generen nuevos problemas o efectos no deseados que deben abordarse. Los ""huevos de serpiente"" representan estos problemas emergentes que requieren atención y gestión adicional.",
Incentivo,"Premio o castigo a un comportamiento de un actor de un sistema, ya sea implícito (comisión, bonus por ejecutar una tarea) o implícito (prestigio en la empresa, rechazo en el equipo). Los incentivos pueden ser intrínsecos o extrínsecos, y se estudian en diversas áreas de conocimiento, como la economía o la psicología.","Daniel H. Pink. Drive
Uri Gneezy, Mixed Signals"
Incentivo perverso,Un incentivo que fomenta un comportamiento innecesariamente desleal al sistema o actúa en contra de la intención original del autor del. Incentivo. Ejemplo clásico: efecto cobra.,https://es.wikipedia.org/wiki/Efecto_cobra
Incertidumbre,La incertidumbre es un concepto clave en el CPS (Complex Problem Solving). Se refiere a la falta de certeza o conocimiento completo sobre una situación o problema complejo. En CPS la incertidumbre se considera una realidad inevitable que debe ser aceptada y gestionada mediante herramientas y enfoques adecuados,
Man on a mission,"Se refiere a un individuo o equipo que está enfocado y comprometido en resolver un problema específico llegando hasta el punto de estar obcecado o tener visión túnel, por ejemplo optimizando los KPIs en contra del propósito final de la empresa..",
Mapa y territorio,"Expresión el mapa no es el territorio. Esta expresión enfatiza que los modelos, teorías o representaciones de la realidad (el mapa) no son la realidad misma (el territorio) y, por lo tanto, siempre simplifican y omiten detalles del mundo real.","Alfred Korzybski, un filósofo y científico polaco"
Mapas de Wardley,"Es una representación del entorno en el que opera una empresa, o una organización de personas.",
Mapas mentales,"Los mapas mentales son diagramas que organizan visualmente ideas y conceptos alrededor de un tema central, facilitando la comprensión y el recuerdo.",
Niebla de guerra,"La incertidumbre, ambigüedad y falta de información completa que rodea a los problemas complejos.
Al igual que en una batalla, donde la niebla dificulta tener una visión clara del campo, en los problemas complejos hay muchos factores desconocidos, cambiantes y entrelazados que impiden tener una comprensión total de la situación. El CPS reconoce esta ""niebla"" y la necesidad de navegar a través de ella utilizando múltiples perspectivas, adaptabilidad y orquestación cognitiva para abordar los problemas de manera efectiva",
Pensamiento critico,Uno de los tipos de pensamiento que consiste en evaluar y juzgar con precisión y lógica.,
Pensamiento lateral,Uno de los tipos de pensamiento que consiste en generar ideas innovadoras fuera del pensamiento convencional.,
Pensamiento liminal,Uno de los tipos de pensamiento que consiste en navegar por los bordes de conceptos conocidos y desconocidos.,
Pensamiento sistémico,Uno de los tipos de pensamiento que consiste en comprender cómo las partes interactúan dentro de un todo.,
Pensamiento vertical,Uno de los tipos de pensamiento que consiste en solucionar problemas siguiendo procesos establecidos.,
Personotécnia,"Operativa por la cual una relación cíclica es adaptada por el emisor de manera acorde a la naturaleza del receptor, en base a un conocimiento previo, y con el fin de facilitar el propósito último que originó la relación mencionada.",
PESTEL,"(Político, Económico, Social, Tecnológico, Ambiental, Legal): Un marco utilizado para analizar y monitorear los factores macroambientales que pueden afectar a una organización",
Pompismo,"Los pompistas tienden a adoptar una actitud arrogante y a imponer sus ideas sin fundamento, pasando por encima de otros enfoques o sugerencias. 

El pompismo es peligroso porque puede llevar a tomar decisiones o acciones equivocadas si se basan en ideas sin sustento real.",
Recuenco,"Javier González Recuenco (persona física), fundador del CPS Hispano, y principal divulgador público hasta la fecha.",https://twitter.com/Recuenco
SCAMPER,"SCAMPER es una técnica de creatividad que ayuda a mejorar productos o resolver problemas mediante siete acciones: Sustituir, Combinar, Adaptar, Modificar, Poner en otro uso, Eliminar y Reordenar.",
Sensemaking,Interpretar y entender situaciones complejas o inciertas para tomar decisiones.,
Sesgo,"una desviación sistemática en el pensamiento que afecta las decisiones y juicios de las personas, llevándolas a interpretaciones y percepciones distorsionadas de la realidad.

No confundir con falacia lógica, aunque realmente afecten a nuestro juicio de manera similar. Conocer los sesgos más comunes, anque ayuda, no nos hace exentos de cometer esos errores, y por eso se recomienda revisiones por pares, diversidad intelectual, etcétera.",Léase Kahnemann.
Simple (Cynefin),"Un problema cuya relación causa-efecto clara, fácil de entender. La respuesta correcta es evidente para todos. Puede ser resuelto mediante consultoría clásica.",Véase Cynefin
Sistemas Complejos,"Un sistema complejo es un conjunto de componentes interconectados que interactúan de manera no lineal, generando comportamientos emergentes que no pueden predecirse completamente a partir de las propiedades de los componentes individuales. Estos sistemas son sensibles a las condiciones iniciales y suelen adaptarse y evolucionar con el tiempo.","Donella Meadows, Pensar en sistemas"
Skin in the game,"""Skin in the game"" es una expresión que se refiere a tener una inversión personal en una situación o proyecto, lo que implica que la persona tiene algo que perder y, por lo tanto, está motivada a garantizar el éxito.",N. N. Taleb. Skin in the game
Suerte buscada,Actuar proactivamente para crear oportunidades de éxito.,
Suerte ciega,Fortuna inesperada sin esfuerzo alguno.,
Suerte por circunstancia ,Beneficios derivados de estar en el lugar y momento adecuados.,
Suerte preparada,Aprovechar oportunidades gracias a la preparación previa.,
Technology Environment,"Mapeo y entendimiento profundo de las mega tendencias tecnológicas (Computación cuántica, IoT, AI, Data Science)",
Tecnocenizo,"Dígase de una persona que es particularmente pesimista respecto al progreso de la humanidad y el impacto de la tecnología en el desarrollo humano, tanto en el pasado como en las expectativas futuras.",
Tendencias (macro-),"Los cambios que se están produciendo en la sociedad y el Zeitgeist, por ejemplo: cambios tecnológicos, globalización, cambios demográficos, cambios regulatorios, crisis económicas, cambio climático y sostenibilidad, evolución del comportamiento del consumidor…","Richard Rumelt. Good Strategy, Bad Strategy"
Turra (hilos -),"Artículos semanales escritos por Recuenco en la plataforma X que tratan acerca de temas diversos relacionados con el CPS.

El origen, es una expresión popular argentina de un estruendo sonido (actualmente tiene múltiples usos)",Se pueden encontrar varias turras recogidas en https://turrero.vercel.app/.
Turrero Post,Proyecto hecho por la comunidad CPS que recopila las turras publicada por Recuenco y las hace accesibles,
Vaca esférica,"Metáfora para un constructo o experimento teóricamente posible, pero irreal a la práctica. Crítica a ls simplificación de los modelos científicos o teóricos y que estos toman distancia con la realidad. Origen de la metáfora: La producción de leche de una granja era tan baja que el granjero pidió a la universidad local ayuda académica. La universidad reunió un equipo multidisciplinar de profesores, encabezado por un físico teórico, y estuvieron dos semanas haciendo investigación de campo intensiva. Los científicos volvieron a la universidad, con sus portátiles repletos de datos, y el encargo de escribir el informe se dejó para el líder del equipo. Poco después, el granjero recibió el informe, que empezaba así: «Tengo la solución, pero funciona solo en el caso de vacas esféricas en el vacío«",
