id,content,categoria
1610940502609723393,En el hilo turras de hoy tras el paréntesis navideño vamos a hablar de si los CFOs pueden ser estratégicos o no:,"cps,strategy"
1604019306349592577,"En el hilo turras de hoy vamos a volver a hablar de Factor X, en concreto de ""La conversación"", la gestión de la realidad y su conexíón con el CPS. Al turrón.",factor-x
1601483220029161473,"En el hilo turras de hoy, hablaremos de Gaming, Crypto, CPS y otras hierbas.",gaming
1598965646620086272,"En el hilo turras de hoy, hablaremos de la conformidad, la lubricación social y sus dinámicas asociadas. Vamos allá.","complex-systems,factor-x"
1596391703774367744,"En el hilo turras de hoy, vamos a profundizar un poco más en éste tema: El umbral entre la complejidad y la serendipia.","complex-systems,signaling"
1593870067128627200,"En el hilo turras de hoy, hablaremos sobre visiones y ejecución. La importancia de ambas, y la distancia que las separa.","strategy,talent"
1591345649848487936,"En el hilo turras de hoy, tal y como comenté, vamos a hablar de spaghetti alle vongole, o para los neófitos, la gestión de lo desconocido en el CPS.","complex-systems,cps"
1588784557284794368,"En el hilo turras de hoy, hablaremos de monetización de redes sociales y en general, del poder de la historia a la hora de aceptar ecuaciones de canje y de captura de valor ridículas.",factor-x
1586258861190676482,"En el hilo turras de hoy, tal y como comenté, vamos a hablar un poco de temática Halloween. Cojan este candil y bajen conmigo a la cripta.",signaling
1583704982129643520,"En el hilo turras de hoy, y de manera completamente acorde a lo descrito aqui, voy a hablaros de la agilidad mental, rutinas, peligro y stress.",complex-systems
1581161865035407360,"En el hilo turras de hoy, dedicado al gran @cesarastudillo que ha tomado el relevo de @Gonzalomartin como constante inspiración para que diga gilipolleces, vamos a hablar de la importancia del cuerpo calloso y el Test Astudillo (Bechdel anyone?).","complex-systems,factor-x"
1578640745979846662,"En el hilo turras de hoy, tal y como comentamos, vamos a ver la importancia del recalibrado a la hora de afrontar escenarios CPS. Vamos a hablar de recoger cable, inversiones de ego y un montón de cosas similares. Vamos allá.","cps,factor-x"
1576087451524907008,"En el hilo turras de hoy, hablaremos, como prometimos de la primera persona que intentó crear una compañía alrededor del concepto de CPS, aunque desconocía que lo estaba haciendo.",cps
1573548479888105473,"En el hilo turras de hoy, tal y como comenté en su momento, vamos a hablar de la selección española de baloncesto y su trayectoria en el Eurobasket.",teamwork
1571042180965498881,"En el hilo turras de hoy, como ya os adelante, vamos a hablar de un tema delicado. De los tuercebotas y de los casting mal hechos.",complex-systems
1568482191230787585,"En el hilo turras de hoy, vamos a hablar de cosas delicadas alrededor del Factor X. Mujeres, primates y científicos. Ningun colectivo sin ofensa. A la liana, chavales.",factor-x
1550748648845238272,"En el hilo turras de hoy, vamos a hablar de este fascinante tema que mencionábamos la semana pasada:",talent
1545639451765997568,"En el hilo turras de hoy, y no me exijáis mucho, que estoy completamente hecho cisco volviendo de la terreta, voy a hablar de ésta cuestión que nos llegó vía #preguntaalrecu",personotechnics
1543107844043673600,"En el hilo turras de hoy, tal y como prometí, voy a volver a la carga con esto:",complex-systems
1540473939503288321,"En el hilo turras de hoy, tal y como avancé, vamos a hablar del reciente draft de la NBA como un festival CPS. Vamos allá.",cognitive-orchestration
1538038532874420225,"En el hilo turras de hoy, tal y como avancé, voy a hablar de la violencia intelectual.",factor-x
1535521789585117185,"En el hilo turras de hoy, tal y como comenté, vamos a examinar un tema fascinante como son las dinámicas de creación y sustentación de opinión.",factor-x
1532990633580929025,"En el hilo turras de hoy, y dado que estoy destrozado de toda la semana de saraos varios, vamos a intentar tratar un tema un poco más liviano de lo normal. Vamos a hablar de como escribir todas las semanas sobre algo, estés muerto o no.",cps
1530425616423690244,"En el hilo turras de hoy, como mencioné ayer, vamos a hablar de los emulsificadores de equipo.",teamwork
1527905242376962054,"En el hilo turras de hoy, vamos a hablar de un aspecto normalmente ignorado en escenarios de complejidad, los procesos de alta variabilidad.","complex-systems,cps"
1525356646448381952,"En el hilo turras de hoy, tal y como os comenté, vamos a hablar del Marketing post Facebook/Google, como hemos llegado a la situación actual, por qué apesta, y como vamos a intentar salir de aquí.",marketing
1522830977088819203,"En el hilo turras de hoy, hablaremos del maltrato al que se somete todos los días a la estrategia. Dedicado a @jlantunez , he knows why.",strategy
1520307318931570688,"En el hilo turras de hoy, tal y como avancé, voy a proponer una tesis un poco loca sobre donde hunde las raíces nuestra difícil relación con la complejidad.",complex-systems
1517738336210894850,"En el hilo turras de hoy, vamos a hablar de una disciplina necesaria en la vida y particularmente en el CPS: La asertividad.","cps,factor-x"
1515034112725241860,"En el hilo turras de hoy, tras el pequeño paréntesis de la semana pasada, voy a hablar de algo hardcore: La asimetría en el conocimiento, los problemas asociados a ello a la hora de comunicar y su gestión en el CPS. Vamos allá.",cps
1510161914772471813,"En el hilo turras de hoy, voy a dar salida a una obsesión personal, y de alguna manera a conectarlo con el CPS: Mi obsesión con los acertijos, los enigmas, los puzzles, los misterios y en general las cosas complicadas necesitadas de resolución.","cps,complex-systems"
1507611365288161280,"En el hilo turras de hoy, vamos a hablar de la evolución de la función comercial en general, al hilo de un #preguntaalrecu pendiente:","books,cps,marketing"
1505081147595833345,"En el hilo turras de hoy, como ya avancé, vamos a hablar de los secuestradores de compañías.","personotechnics,strategy"
1502547574263361538,"En el hilo turras de hoy, vamos a hablar de otra sutileza de la Orquestación cognitiva,la razón por la que los equipos de Playstation solo funcionan en la Playstation.",cognitive-orchestration
1500015623090360324,"En el hilo turras de hoy, y tal y como comenté en su momento, hablaremos de Pirlo y Gattuso. Hablaremos de trabajar en equipos CPS.",teamwork
1497479266354794497,"En el hilo turras de hoy, hablaremos de lo absolutamente anti intuitivo que es el liderazgo en realidad, y por qué la mayor parte de la gente lo suele confundir y malinterpretar.",leadership
1494930415504789506,"Hablé del tema en detalle en el hilo turras que le dediqué a los \Harbingers of Doom\"" y hablé de la metáfora del Hotel de Hilbert en el que todos los negocios están metidos:""",fringe-futurism
1494930305811111938,"En el hilo turras de hoy, vamos a hablar de la eventual transición de la creación del valor del dinero y las operaciones a las propuestas de valor, y como afecta a tres negocios clave: Los VCs, el Private Equity y los M&As.",strategy
1492405460682657792,"En el hilo turras de hoy, vamos a meternos en un charco serio y de persona mayor, como planteamos en su momento. La inexorable decadencia del fútbol español.",strategy
1489874989809639424,"En el hilo turras de hoy, vamos a hablar de una sutileza en la orquestación cognitiva: La sincronización de pedalada.",cognitive-orchestration
1487312375351029760,"En el hilo turras de hoy, vamos a hablar de un tema muy relevante a la hora de generar demanda sobre conceptos complejos. La gestión de la autosegmentación.",complex-systems
1484786680439746562,"En el hilo turras de hoy, hablaremos de un concepto aparentemente un tanto abstracto, pero absolutamente crítico en todo lo que tiene que ver con el CPS: El peso del armiño y la soledad del CEO.",complex-systems
1482274923313782784,"En el hilo turras de hoy, nos adentraremos en un mundo proceloso: El de los mecanismos de generación, captura e intercambio de valor.",marketing
1479732314791886850,"En el hilo turras de hoy, primero del 2022, vamos a hablar de un tema que nos llegó via #preguntaalrecu :","factor-x,strategy"
1472134392361500672,"En el hilo turras de hoy, voy a hablar de por qué soy un firme creyente de todo lo relacionado con Web3, pero al mismo tiempo no soy un practicante firme ni un abanderado.","biases,web3"
1469583058563121153,"En el hilo turras de hoy, vamos a hablar de soluciones a problemas imposibles. De como abordarlos y de como hemos decidido crear una pequeña compañía? spinoff? para realizar lo que no podemos hacer desde @SingularSolving","moonshoot,cps"
1467051970422878210,"En el hilo turras de hoy, hablaremos de inteligencia y socialización al hilo de que estamos celebrando la RAM (Reunión Anual de @MensaEspana  que este año 2021 se celebra en la muy noble y muy leal ciudad de Gandía.",sociology
1464529976540241923,"En el hilo turras de hoy, vamos a intentar la cuadratura del círculo: Resolver dos problemáticas que llegaron a #preguntaalrecu de manera simultánea:","marketing,sociology"
1461944993900380165,"En el hilo turras de hoy, responderemos a esta pregunta que nos llegó vía #preguntaalrecu:",gaming
1459431132965924866,"Pues efectivamente, hoy no habrá hilo turras as usual, pero como me conocéis bien y el resto de las fulanas de @HeavyMental_es se están duchando, unos cuantos flashes rápidos.",teamwork
1456867302494834690,"En el hilo turras de hoy, vamos a hablar de los huevos de serpiente. No de los literales, que es un tema fascinante per se, sino de los metafóricos.",factor-x
1454341690022670339,"En el hilo turras de hoy, vamos a hablar de Facebook. Pero no denunciando, que ya hay muchos valientes haciendo ahora lo que yo llevo haciendo más de una década, o de Meta, que ya no cabe un análisis más, sino sobre dead men walking.",marketing
1451786307403927553,En el hilo turras de hoy vamos a hablar del maravilloso mundo de las  narrativas interesadas al hilo de éste tweet reciente.,storytelling
1449265748019453954,"En el hilo turras de hoy, vamos a hablar de los problemas relativos a la gestión de los vehículos de transmisión de las ideas, la paja cognitiva y los mecanismos de atribución de valor.","biases,strategy"
1446745515501264896,"En el hilo turras de hoy, hablaremos de por qué en general ser un \listo\"" o un hijo de puta te suele traer problemas a largo plazo. Hoy vamos a hablar a tope de Factor X.""","factor-x,biases"
1444195816248385539,"En el hilo turras de hoy, quiero hablar de la gente racional y la gente pasional. De su difícil convivencia, de su fascinación mutua, y de como de su adecuada mezcla y aplicación depende que todo funcione o todo estalle.",biases
1439130053267316738,"En el hilo turras de hoy, tal y como comenté, voy a hablar de la aproximación estratégica del Barça. Bueno, lo voy a usar de excusa para hablar de como a veces todo tiene que irse a la mierda primero para decidir empezar a remontar.",strategy
1436601048978890753,"En el hilo turras de hoy, hablaremos de los procesos de transformación personal. De esos procesos que hacen que una persona entre de una manera y salga de otra muy distinta. Y de la importancia de la gente discreta y complementaria en el gran esquema de las cosas.","factor-x,complex-systems"
1434087755198386177,Bienvenidos de nuevo a la cita de todos los sábados con el hilo turras tras el paréntesis estival. Hoy hablaremos de Taylorismo de mierda. \nDicebamus hesterna die...,taylorism
1421353440224104449,"En el hilo turras de hoy, que cierra la temporada, voy sencillamente a hablar de anécdotas sobre los hilos turras. Y vuelvo al viejo estilo de improvisar todo y publicar uno a uno por una vez.",cps
1418850632396677122,"En el hilo turras de hoy, y tal como anuncié ayer, voy a hablar del futuro del gaming/gambling, y por qué me he metido hasta las trancas en el junto con mis socios.",e-sports
1416256929526161408,"En el hilo turras de hoy, a pesar de que tengo mil temas pendientes de #preguntaalrecu, me apetece hablar de algo sobre lo que llevo reflexionando un rato: La escurridiza relación entre éxito y talento.","talent,serendipity"
1413787729079545858,"En el hilo turras de hoy, y a pesar de que ya los hilos y los temas pendientes no me caben en una habitación, voy a hablar como prometí de reconversiones.","biases,talent"
1411191931669987332,"En el hilo turras de hoy, voy a hablaros de un concepto aparentemente abstruso pero fundamental, que es el de abrochador liminal, al hilo de este tweet de @samuelgil:","zeitgeist,marketing,sociology"
1408725781291876353,"En el hilo turras de hoy, hablaré al hilo de un par de tweets que lancé ayer, sobre algo que considero fundamental: Saber cuando tirar la toalla y cuando apretar los dientes.","talent,context-is-king"
1406126552463470593,En el hilo turras de hoy de entre los aproximadamente 50!!! #preguntaalrecu que tengo pendientes (Responderé todos antes o después) recojo este tweet que se había perdido porque me parece fascinante reflexionar sobre qué hace que algo triunfe o no.,"context-is-king,marketing"
1403645471596453888,"En el hilo turras de hoy, y al hilo de una cuestión en la Comunidad Kaizen de @jaime_rdes, hoy voy a hablaros de la Shadow Career.",skills-development
1401066568034009088,"En el hilo turras de hoy, vamos a hablar de varias cosas interconectadas, enhebradas todas en este tweet petición a #preguntaalrecu:","skills-development,factor-x"
1398571638170529792,"En el hilo turras de hoy, vamos a hablar de este tema que nos llegó a #preguntaalrecu:","factor-x,complex-systems,context-is-king"
1396010920174837761,"En el hilo turras de hoy, voy a hablar de una cosa muy loca pero de la que me apetece hablar en un #preguntaalrecu: Lo jodido que es tener opiniones controvertidas de la naturaleza que sea.",factor-x
1393482549306044416,"Ya hablé en su momento de que los argumentos de Mazzucato son cuanto menos, discutibles. Me gustaría otro día dedicar un hilo turras al libro de McCloskey, que tiene más miga que doce barras de pan candeal.",cps
1390935441591967746,"En el hilo turras de hoy, y tal como comenté, vamos a hablar de Black and White Thinking.","personotechnics,cps,teamwork,factor-x"
1388377995233071106,"En el hilo turras de hoy, vamos a hablar de algo que ya os adelanté que iba a ser el tema elegido, de la hipocresía como una de las bellas artes.","factor-x,cps"
1385833074001432576,El hilo turras de hoy es muy especial. Por muchísimas razones. #momentomoñas,"factor-x,cps"
1383300287356575746,2018 - Hablando de Cambridge Analytica y como los claims de Facebook de que puede realmente influenciar a la gente son puro fluff - Un predecesor del hilo turras:,"personotechnics,marketing"
1383300151763103751,"En el hilo turras de hoy, voy a comentar esta solicitud que llegó vía #preguntaalrecu. Vamos a hablar de por qué considero que Facebook no verá la próxima década, y por qué llevo una década diciéndolo.",marketing
1380770207384408065,"En el hilo turras de hoy, vamos a tocar un tema delicado. El rol de las instituciones públicas en todo lo que tiene que ver con innovación/tecnología/talento/CPS.","cps,talent"
1378251639639920641,"En el hilo turras de hoy, vamos a hablar de nuevo de un tema hot que me lanza la persona que creo que históricamente me ha inspirado la creación de más posts y respuestas, @gonzalomartin - Vamos a hablar de Data Driven Companies.","cps,talent"
1375697328561078276,"En el hilo turras de hoy, voy a hablar de un evento reciente que he estado conectando con muchas cosas: La dimisión del CEO de Danone.","cps,talent"
1373170914226008064,"En el hilo turras de hoy, responderemos a esta pregunta que nos llegó vía #preguntaalrecu (Por cierto, cada vez hay más temas potentes y tengo más backlog. Gracias a todos por intervenir)",cps
1370628575775367168,"Es lamentable pero ya localizo temas para el hilo turras en cualquier sitio. En este caso, en la magnífica Comunidad Kaizen de @jaime_rdes. Vamos al turrón:","cps,marketing,strategy"
1368127688343490560,"En el hilo turras de hoy, vamos a contestar a esta pregunta que nos llegó a #preguntaalrecu:","signaling,cps,books"
1365564279232028681,"En el hilo turras de hoy, hablaremos de #bothism al hilo de esta pregunta de #preguntaalrecu : https://twitter.com/Recuenco/status/1364839499604312064?s=20… con dedicatoria para @alejandrowriter","cps,marketing,strategy"
1363049095003316224,"En el hilo turras de hoy, voy a hablar de un tema bastante espinoso que me cayó en #preguntaalrecu. Vamos allá.",cps
1360494110092713986,"En el hilo turras de hoy, intentaré recoger varios de los flecos sueltos que dejé en el hilo del sábado pasado, tal y como prometí:","incentives,sociology"
1357937382318886913,"En el hilo turras de hoy, voy a intentar responder a esta pregunta que llegó a #preguntaalrecu. Vamos allá y abróchense, que vienen curvas:","cps,strategy"
1355414699400175616,"En el hilo turras del sábado, hoy contestaremos a ésta pregunta que nos llegó a #preguntaalrecu:","cps,strategy"
1352890795897061378,"En el hilo turras de hoy, hablaremos de esta pregunta que nos llegó a #preguntaalrecu sobre resolubilidad de los problemas complejos:",books
1350359247209553920,"En el hilo turras del sábado, vamos a reflexionar sobre este tema que llego a #preguntaalrecu y de paso copio a @TITONET que fue el que lo trajo a la mesa. Vamos allá.","personotechnics,cps,teamwork"
1347795536435404800,"En el hilo turras de hoy, y a pesar de que la actualidad no hace más que gritarme que la atienda, voy a ejercer de CPSer y voy a hablar de otra cosa. De la gestión de la emoción en el CPS. #dentrohilo","sociology,cps"
1342767594697191424,"En el hilo turras de hoy, hablaremos de soluciones de mierda a problemas complejos, al hilo de éste #preguntaalrecu :",cps
1340160478316785666,"En el hilo turras de hoy, voy a básicamente, cargarme mi tradición de como construyo los hilos mientras hago de papacar, porque necesito apoyo multimedia y porque necesito sacarlo de mi sistema ASAP. Cierro con éste la trilogía sobre libros recomendados para CPS #AbroHilo","books,cps,strategy"
1337670943276224513,"En el hilo turras de hoy, vamos a intentar contestar a esta pregunta que nos llegó a #preguntaalrecu:","cps,sociology"
1335136099258294273,En el hilo turras de hoy hablaré de una pregunta que nos llegó a #preguntaalrecu sobre mediocridad de rebaño y la plataforma mágica.,"fringe-futurism,signals,cps,strategy"
1332604415224770564,"En nuestro hilo turras de hoy, vamos a contestar esta pregunta que nos llegó a #preguntaalrecu:","marketing,cps,complex-systems"
1330075571116777474,"En el hilo turras de hoy, cumpliremos lo prometido: La segunda parte de los libros que más me han influido a la hora de convertirme en CPSer.","books,cps,strategy"
1327534186140487680,"En el hilo turras de hoy, una pregunta que nos llega a #preguntalealrecu:","books,cps,strategy"
1325000695897071616,"En el hilo turras de hoy, y dado que no recuerdo tener nada de #preguntaalrecu pendiente para hoy, hablaré de un aspecto clave en el CPS: La psicología para la acción comercial. Como convencemos a alguien de que necesita CPS??","cps,sociology"
1319891330307338240,"En el hilo turras de hoy, introducimos dos novedades: Hablaremos de #personotecnia (clave en el CPS) e introduciremos una nueva sección: “Pregúntale al Recu”","cps,personotechnics"
1317382505880866816,"En el hilo coñazo de hoy, como prometí, hablaré de cómo Van Halen se deshace como banda por falta de un orquestador cognitivo. #CPS #ciaoeddie","cps,cognitive-orchestration"
1307211330349420545,En el hilo de hoy hablaré sobre un aspecto crítico en Complex Problem Solving: La construcción de equipos CPS. Al hilo de ésta cuestión que me hizo  @IviasAren. #dentrohilo,"cps,teamwork"
1299619999200485377,"Hoy quiero profundizar un poco en algo de lo que hable en otro hilo, sobre oportunidades, puertas que se abren y se cierran y lo voy a hacer al hilo (no pun intended)de un tema de rabiosa actualidad: el caso Messi #AbroHilo",cps
1034487123972382721,"Debajo de todo esto, tan solo existe una cosa: Estrategia por encima de todo lo demás. Abro hilo.",strategy
1314815631229935617,"En el hilo coñazo de hoy hablaremos de Rudy Fernández, de Kobe Bryant, de Michael Jackson, de Eddie Van Halen, de Queensrÿche y en general de cuando te arden las tripas. Hablaremos sobre excelencia y obsesión.",strategy
1056485929186144256,"Amigos, hoy vamos a hablar de un tena fascinante. El efecto Amnesia de Murray Gellmann. Abro hilo coñazo.","sociology,biases"
1312274974464499713,"En el hilo brasas de hoy hablaremos de grises y nieves, de ambigüedad, de lo mal que la gestionamos, de Ayn Rand, de ideologías y en general de lo duro que es admitir que no se tiene ni puta idea de algo concreto #dentrohilo",sociology
1309767345875890177,En mi hilo plasta de hoy hablaré de lo necesario que es la fé en el CPS y de lo peligrosas que son las mitologías. #dentrohilo,sociology
1304701603811913729,En el hilo del sábado de hoy vamos a hablar de cuándo y cómo una compañía emite señales de que su propuesta de valor está caducando. O en inmortales palabras de @PhillipJFryII,"fringe-futurism,signals"
1302224331154612225,"Hoy voy a hablar de como se convierte uno en Complex Problem Solver. O básicamente, como desafiar la sabiduría imperante de siglos: aprende un oficio, únete al gremio, profit. #abrohilo",sociology
1297462657503694848,"Hoy, en otro de esos hilos en un día estúpido a una hora estúpida que tanto le gustan a  @jlantunez, voy a hablar de mi relación con el Design Thinking. El título es “ por que decimos cordero con patatas y no patatas con cordero “ #AbroHilo",strategy
1294936782497361928,"Voy a abrir un hilo sobre los “ harbingers of doom “ , sobre las personas que nos dedicamos a hablar sobre el futuro de las compañías, y que generalmente somos percibidas como cenizas o que damos un mensaje negativo interesado. #winteriscoming",fringe-futurism
1270594048617824257,"Hoy voy a hablar un poco de un tema que generalmente pasa muy desapercibido para la importancia que tiene, que es la #orquestación (abro hilo)",cognitive-orchestration
1274228378451824640,Cualquiera que se enfrente al cambio radical de algo existente tiene que tener en cuenta que la semántica le tiene preparada una serie de trampas (Abro hilo),biases
1260101741904834560,"A finales de los 60, había un injustificado optimismo acerca de que las pandemias estaban dominadas y un par de universidades cerraron sus departamentos de epidemiología. (Abro hilo)",sociology
1259054408983289856,"Vía @pacotraver me llega éste cañón de post: https://robertocolom.wordpress.com/2020/05/08/la-mente-de-la-colmena/ sobre entre otras cosas, la correlación entre la superdotación y la prosperidad de un país. (Abro hilo)",Intellectual giftedness
1257924003068555269,"He estado reflexionando sobre un tema aparentemente trivial, que me he dado cuenta que tiene muchísima miga. Así que voy a intentar hablar de cánones, de cómo se forman y de cómo nos alteran el pensamiento. (Abro hilo)",canon-formation
1257237030062510080,Algunos posiblemente recordéis este tweet mío del 13/03: (Abro hilo),taleb
1157653953716396036,Este es un artículo interesante que me trae mi amigo @jlgalego en el que creo que se tira el bebé junto con el agua. Abro hilo.,demand-generation
1146056421072441344,"Bueno, pues al final tengo un segundo y puedo hacer lo que le prometí ayer a @velozeto: Hablar un poco de lo que significa la Humanización a escala, particularmente en entornos educativos. Dentro hilo.",personotechnics
1052828473729961984,"Abro hilo con mi opinión descarnada sobre este tema. Si a alguien le parece hardcore, la culpa es de  @sndsep",marketing
1014799133553647616,El mundo del patrocinio está perdidísimo. Abro hilo.,strategy
999902670885285891,Vamos a hablar de una nueva métrica. El GRR (GDPR reject ratio). Abrimos hilo.,marketing
989041980549287936,"A ver, hilo largo: por qué considero que las caídas de Sorrell y Bolleré marcan un antes y un después en el mundo publicitario.",marketing
967390304260239360,Hilo imprescindible sobre que es lo que importa en una startup de verdad. Propuesta de valor Customer centric y narrativa identificable.,startups
